lead_time,risk_signal,shap_feature_group,condition_example,recommended_action,responsible_unit,urgency_level,mean_abs_shap
T+1,조류·Chl-a 선행 신호,log_cyano,log_cyano가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,6.184892654418945
T+1,복합 환경 신호,DO(㎎/L),DO(㎎/L)가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.7124004364013672
T+1,조류·Chl-a 선행 신호,log_cyano_lag14,log_cyano_lag14가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.4122908115386963
T+1,조류·Chl-a 선행 신호,log_cyano_lag1,log_cyano_lag1가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.2958211898803711
T+1,조류·Chl-a 선행 신호,log_cyano_lag3,log_cyano_lag3가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.2936253249645233
T+1,계절·일사 신호,doy_sin,doy_sin가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.26518547534942627
T+1,조류·Chl-a 선행 신호,hoenam_log_cyano_lag14,hoenam_log_cyano_lag14가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.24736401438713074
T+1,복합 환경 신호,합계 일조시간(hr),합계 일조시간(hr)가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.21396277844905853
T+1,복합 환경 신호,취수량2,취수량2가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.19038619101047516
T+1,복합 환경 신호,예년강수량,예년강수량가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.17320658266544342
T+3,조류·Chl-a 선행 신호,log_cyano,log_cyano가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,6.860138994322631
T+3,계절·일사 신호,doy_sin,doy_sin가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,1.378757110577197
T+3,조류·Chl-a 선행 신호,hoenam_log_cyano_lag10,hoenam_log_cyano_lag10가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.3349455622192013
T+3,조류·Chl-a 선행 신호,log_cyano_lag10,log_cyano_lag10가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.25932798916108885
T+3,복합 환경 신호,최저기온(°C),최저기온(°C)가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.22695741164639935
T+3,복합 환경 신호,pH,pH가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.2171685761701766
T+3,조류·Chl-a 선행 신호,log_cyano_lag14,log_cyano_lag14가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.20589065953331195
T+3,조류·Chl-a 선행 신호,log_cyano_lag3,log_cyano_lag3가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.19946499000703932
T+3,복합 환경 신호,평균기온(°C),평균기온(°C)가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.191054065074756
T+3,복합 환경 신호,탁도,탁도가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"물순환설비 가동 검토, 취약 지점 집중 감시, 예비 경보 회의",수질관리/댐운영/정수장 협업,높음,0.1844229887765365
T+7,조류·Chl-a 선행 신호,log_cyano,log_cyano가 해당 리드타임 SHAP 상위 변수이며 위험 예측에 크게 기여,"조류 제거선·활성탄·약품 재고 사전 준비, 정수장 공유",수질관리/댐운영/정수장 협업,중간,3.62326679660888
