lead_time,risk_signal,shap_feature_group,condition_example,recommended_action,responsible_unit,urgency_level,mean_abs_shap
T+1,계절·일사 신호,doy_sin,doy_sin가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,1.4989545345306396
T+1,복합 환경 신호,연도,연도가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,1.0203797817230225
T+1,일반 수질 신호,탁도,탁도가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.7702838182449341
T+1,계절·일사 신호,month_sin,month_sin가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.5756804347038269
T+1,복합 환경 신호,dayofyear,dayofyear가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.5682076811790466
T+1,일반 수질 신호,pH,pH가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.4536884129047394
T+1,Chl-a 수질 신호,Chl-a (㎎/㎥),Chl-a (㎎/㎥)가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.3364180326461792
T+1,고온·수온 지속 신호,air_temp_mean_14d,air_temp_mean_14d가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.2410228997468948
T+1,고온·수온 지속 신호,water_temp_lag14,water_temp_lag14가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.230134829878807
T+1,고온·수온 지속 신호,수온(℃),수온(℃)가 환경 기반 모델의 SHAP 상위 변수이며 위험 예측에 크게 기여,"즉시 현장 모니터링 강화, 채수 빈도 확대, 담당자 알림",수질관리/댐운영/정수장 협업,긴급,0.2222677320241928
